user_id,gender,height_cm,weight_kg,cluster,brand,category,product_name,size_bought,outcome,reason,fit_feedback,rating,review,purchase_date
U000037,Female,160,63,Female_Cluster_0,H&M,Dress,Maxi Dress,M,kept,,Slim Fit,5,Great quality. Would buy again.,2025-12-14
U000038,Female,157,60,Female_Cluster_0,H&M,Top,Graphic Tee,S,kept,,Relaxed Fit,5,Loved the fit. Fabric feels premium.,2025-07-24
U000039,Female,163,49,Female_Cluster_4,Allen Solly,Trousers,Training Shorts,S,returned,Too Long,Oversized,2,Loose fit wasn't for me.,2025-04-05
U000040,Female,160,70,Female_Cluster_3,W,Kurti,Cotton Kurta,XL,kept,,Slim Fit,4,Perfect everyday wear.,2024-12-09
U000041,Female,156,56,Female_Cluster_0,ONLY,Trousers,Track Pants,S,kept,,Slim Fit,5,Comfortable and stylish.,2025-03-01
U000042,Female,162,50,Female_Cluster_4,Biba,Trousers,Wide Leg Trousers,S,returned,Waist Tight,Runs Small,2,Should have sized up. Felt tight around the shoulders.,2024-12-26
U000043,Female,150,70,Female_Cluster_1,ONLY,Shirt,Casual Shirt,M,returned,Waist Tight,Runs Small,1,Runs smaller than expected.,2025-03-22
U000044,Female,153,66,Female_Cluster_1,ONLY,Trousers,Track Pants,M,returned,Sleeves Tight,Runs Small,3,Should have sized up. Felt tight around the shoulders.,2025-02-07
U000045,Female,158,54,Female_Cluster_0,Roadster,Kurti,Cotton Kurta,M,kept,,True to Size,5,Really happy with the purchase.,2024-12-11
U000046,Male,163,85,Male_Cluster_2,ONLY,Jeans,Straight Fit Jeans,L,kept,,True to Size,5,Great quality. Would buy again.,2025-10-27
U000047,Female,161,57,Female_Cluster_0,Levi's,Dress,Floral Midi Dress,M,kept,,Slim Fit,4,Great quality. Would buy again.,2025-04-21
U000048,Female,160,52,Female_Cluster_0,Zara,Dress,Maxi Dress,XS,kept,,Slim Fit,5,Looks even better in person.,2024-07-22
U000049,Female,156,46,Female_Cluster_2,Nike,Trousers,Cargo Pants,XS,returned,Too Tight,Runs Small,2,Could barely button it.,2025-03-14
U000050,Female,167,63,Female_Cluster_3,ONLY,Kurti,Printed Kurti,S,kept,,Slim Fit,4,Looks even better in person.,2024-06-29
U000051,Female,164,56,Female_Cluster_0,W,Kurti,Straight Kurta,M,kept,,Slim Fit,5,Great quality. Would buy again.,2024-03-29
U000052,Female,150,62,Female_Cluster_1,Biba,Trousers,Running Shorts,XL,kept,,Slim Fit,4,Comfortable and stylish.,2024-08-05
U000053,Female,159,65,Female_Cluster_0,Nike,Shirt,Relaxed Shirt,L,kept,,True to Size,5,Comfortable and stylish.,2025-07-22
U000054,Male,168,60,Male_Cluster_0,Allen Solly,Top,Basic Crew Tee,M,kept,,True to Size,5,Really happy with the purchase.,2025-04-29
U000055,Female,148,83,Female_Cluster_1,Adidas,Jeans,Skinny Jeans,XXL,kept,,True to Size,4,Really happy with the purchase.,2024-05-02
U000056,Female,168,53,Female_Cluster_4,Levi's,Trousers,Chinos,S,kept,,Relaxed Fit,5,Exactly as shown. True to size.,2024-07-17
U000057,Female,156,63,Female_Cluster_1,W,Dress,Maxi Dress,XL,kept,,Slim Fit,4,Comfortable and stylish.,2024-04-15
U000058,Male,164,68,Male_Cluster_0,Adidas,Dress,Floral Midi Dress,L,kept,,True to Size,4,Looks even better in person.,2025-05-18
U000059,Female,158,55,Female_Cluster_0,Biba,Jeans,Straight Fit Jeans,XL,kept,,Slim Fit,4,Looks even better in person.,2025-04-06
U000060,Male,169,86,Male_Cluster_1,Nike,Shirt,Casual Shirt,XL,returned,Too Loose,Runs Large,2,Runs larger than expected.,2025-11-07
U000061,Female,160,69,Female_Cluster_3,H&M,Kurti,Straight Kurta,M,kept,,True to Size,4,Perfect everyday wear.,2025-12-24
U000062,Female,161,55,Female_Cluster_0,Nike,Trousers,Office Trousers,M,kept,,Relaxed Fit,4,Perfect everyday wear.,2024-05-25
U000063,Female,162,64,Female_Cluster_3,Biba,Jeans,Skinny Jeans,L,kept,,Relaxed Fit,5,Perfect everyday wear.,2025-05-27
U000064,Female,152,62,Female_Cluster_1,Adidas,Shirt,Checked Casual Shirt,L,kept,,Relaxed Fit,4,Perfect everyday wear.,2025-08-13
U000065,Female,160,47,Female_Cluster_2,Allen Solly,Jeans,511 Slim Jeans,S,returned,Too Long,Runs Large,3,Runs larger than expected.,2025-02-22
U000066,Female,154,42,Female_Cluster_2,ONLY,Trousers,Chinos,XS,returned,Too Loose,Oversized,2,Runs larger than expected.,2024-09-15
U000067,Female,165,56,Female_Cluster_4,H&M,Trousers,Chinos,XS,kept,,Slim Fit,5,Comfortable and stylish.,2024-02-22
U000068,Female,148,51,Female_Cluster_2,Allen Solly,Top,Ribbed Cotton Top,L,returned,Too Loose,Runs Large,3,Needed one size smaller.,2024-01-15
U000069,Female,175,73,Female_Cluster_3,Allen Solly,Top,Linen Top,M,kept,,Relaxed Fit,5,Looks even better in person.,2025-05-09
U000070,Male,172,86,Male_Cluster_1,Levi's,Shirt,Casual Shirt,XL,kept,,True to Size,5,Looks even better in person.,2024-12-14
U000071,Male,159,73,Male_Cluster_2,Nike,Shirt,Casual Shirt,XXL,returned,Too Loose,Oversized,3,Runs larger than expected.,2024-12-06
U000072,Female,153,55,Female_Cluster_2,Levi's,Trousers,Office Trousers,M,kept,,Slim Fit,4,Really happy with the purchase.,2025-04-29
U000073,Female,162,49,Female_Cluster_4,Roadster,Kurti,Printed Kurti,S,returned,Too Long,Runs Large,3,Bit loose around the waist.,2025-06-22
U000074,Male,175,74,Male_Cluster_3,Roadster,Top,Dri-FIT Tee,S,kept,,Relaxed Fit,5,Exactly as shown. True to size.,2024-12-02
U000075,Male,176,66,Male_Cluster_4,Allen Solly,Shirt,Relaxed Shirt,M,kept,,Relaxed Fit,5,Great quality. Would buy again.,2024-04-02
U000076,Female,166,65,Female_Cluster_3,Zara,Kurti,Cotton Kurta,S,returned,Too Loose,Oversized,2,Runs larger than expected.,2025-01-02
U000077,Female,164,66,Female_Cluster_3,Roadster,Dress,Floral Midi Dress,L,kept,,Relaxed Fit,4,Comfortable and stylish.,2025-08-20
U000078,Female,155,59,Female_Cluster_1,H&M,Kurti,Anarkali Kurta,M,kept,,Slim Fit,5,Perfect everyday wear.,2025-10-16
U000079,Male,169,63,Male_Cluster_0,Levi's,Kurti,Straight Kurta,M,kept,,Slim Fit,5,Perfect everyday wear.,2024-01-23
U000080,Male,168,67,Male_Cluster_0,H&M,Shirt,Formal Shirt,XS,returned,Too Tight,Runs Small,3,Runs smaller than expected.,2024-08-12
U000081,Female,153,48,Female_Cluster_2,Roadster,Trousers,Cargo Pants,M,returned,Too Long,Oversized,2,Needed one size smaller.,2025-01-08
U000082,Female,164,62,Female_Cluster_3,ONLY,Dress,Floral Midi Dress,S,kept,,Slim Fit,5,Very comfortable and fits perfectly.,2024-09-20
U000083,Male,189,65,Male_Cluster_4,Adidas,Top,Dri-FIT Tee,S,kept,,True to Size,5,Really happy with the purchase.,2024-04-02
U000084,Male,180,75,Male_Cluster_4,Adidas,Trousers,Palazzo Pants,M,kept,,Slim Fit,4,Great quality. Would buy again.,2025-04-27
U000085,Female,165,50,Female_Cluster_4,Levi's,Trousers,Cargo Pants,XS,kept,,Relaxed Fit,5,Looks even better in person.,2024-04-29
U000086,Female,164,55,Female_Cluster_4,Zara,Top,Crop Top,S,kept,,Slim Fit,5,Looks even better in person.,2025-08-24
U000087,Female,163,65,Female_Cluster_3,Allen Solly,Shirt,Formal Shirt,L,kept,,Relaxed Fit,5,Great quality. Would buy again.,2025-03-30
U000088,Female,160,66,Female_Cluster_3,Adidas,Shirt,Checked Casual Shirt,L,kept,,True to Size,5,Exactly as shown. True to size.,2025-11-09
U000089,Female,149,42,Female_Cluster_2,Adidas,Dress,Floral Midi Dress,XS,kept,,Relaxed Fit,4,Great quality. Would buy again.,2024-08-26
U000090,Female,167,73,Female_Cluster_3,Nike,Dress,Floral Midi Dress,L,kept,,True to Size,4,Very comfortable and fits perfectly.,2024-01-16
U000091,Female,161,46,Female_Cluster_4,Roadster,Jeans,Straight Fit Jeans,XS,kept,,True to Size,4,Comfortable and stylish.,2025-04-04
U000092,Male,168,73,Male_Cluster_3,Levi's,Shirt,Relaxed Shirt,L,returned,Too Long,Oversized,2,Bit loose around the waist.,2025-05-05
U000093,Male,169,76,Male_Cluster_3,Allen Solly,Top,Basic Crew Tee,L,kept,,True to Size,5,Really happy with the purchase.,2025-01-25
U000094,Male,164,71,Male_Cluster_2,ONLY,Top,Basic Crew Tee,S,returned,Sleeves Tight,Runs Small,3,Waist was too tight for me.,2025-03-16
U000095,Female,160,66,Female_Cluster_3,ONLY,Kurti,Printed Kurti,M,kept,,Slim Fit,5,Very comfortable and fits perfectly.,2025-12-04
U000096,Male,184,81,Male_Cluster_4,ONLY,Top,Printed Tee,XS,returned,Sleeves Tight,Runs Small,3,Could barely button it.,2024-12-03
U000097,Female,149,67,Female_Cluster_1,ONLY,Trousers,Wide Leg Trousers,XL,returned,Too Long,Runs Large,2,Length was longer than expected.,2025-11-03
U000098,Female,163,51,Female_Cluster_4,Adidas,Top,Ethnic Top,S,kept,,Relaxed Fit,4,Perfect everyday wear.,2024-01-30
U000099,Female,158,50,Female_Cluster_2,Adidas,Top,Linen Top,XS,returned,Waist Tight,Runs Small,1,Waist was too tight for me.,2025-10-10
U000100,Male,179,80,Male_Cluster_1,ONLY,Kurti,Anarkali Kurta,M,kept,,Slim Fit,4,Loved the fit. Fabric feels premium.,2024-06-08
U000101,Female,153,48,Female_Cluster_2,Allen Solly,Trousers,Running Shorts,S,kept,,Slim Fit,4,Exactly as shown. True to size.,2024-12-19
U000102,Female,158,71,Female_Cluster_1,W,Trousers,Palazzo Pants,XXL,kept,,Relaxed Fit,4,Loved the fit. Fabric feels premium.,2024-07-28
U000103,Female,160,62,Female_Cluster_0,Nike,Jeans,Straight Fit Jeans,M,kept,,True to Size,4,Looks even better in person.,2025-06-29
U000104,Female,148,57,Female_Cluster_1,Adidas,Top,Graphic Tee,M,kept,,True to Size,5,Exactly as shown. True to size.,2024-11-16
U000105,Female,151,51,Female_Cluster_2,Nike,Top,Graphic Tee,M,kept,,Relaxed Fit,5,Really happy with the purchase.,2024-03-31
U000106,Female,165,63,Female_Cluster_3,W,Top,Graphic Tee,M,returned,Too Tight,Runs Small,2,Waist was too tight for me.,2024-03-19
U000107,Female,165,65,Female_Cluster_3,Adidas,Jeans,511 Slim Jeans,M,kept,,True to Size,4,Very comfortable and fits perfectly.,2025-11-02
U000108,Female,168,54,Female_Cluster_4,Biba,Shirt,Formal Shirt,M,kept,,Relaxed Fit,5,Really happy with the purchase.,2024-06-03
U000109,Female,151,60,Female_Cluster_1,Nike,Shirt,Relaxed Shirt,L,kept,,Slim Fit,5,Loved the fit. Fabric feels premium.,2024-02-28
U000110,Female,158,70,Female_Cluster_1,Zara,Shirt,Casual Shirt,L,kept,,Relaxed Fit,4,Comfortable and stylish.,2025-08-08
U000111,Female,157,67,Female_Cluster_1,H&M,Kurti,Printed Kurti,S,returned,Sleeves Tight,Runs Small,1,Could barely button it.,2025-10-23
U000112,Female,160,67,Female_Cluster_3,W,Shirt,Casual Shirt,XL,kept,,Slim Fit,5,Looks even better in person.,2024-12-12
U000113,Female,168,62,Female_Cluster_3,Zara,Jeans,Straight Fit Jeans,S,kept,,Slim Fit,4,Really happy with the purchase.,2024-03-24
U000114,Female,163,64,Female_Cluster_3,ONLY,Dress,Floral Midi Dress,S,kept,,Slim Fit,4,Exactly as shown. True to size.,2025-10-23
U000115,Female,158,57,Female_Cluster_0,Roadster,Dress,Maxi Dress,L,returned,Too Loose,Runs Large,2,Bit loose around the waist.,2024-10-29
U000116,Male,181,84,Male_Cluster_1,W,Top,Printed Tee,L,returned,Sleeves Tight,Runs Small,2,Waist was too tight for me.,2024-06-15
U000117,Female,157,46,Female_Cluster_2,Allen Solly,Top,Graphic Tee,S,kept,,Slim Fit,5,Comfortable and stylish.,2024-08-27
U000118,Female,156,73,Female_Cluster_1,Levi's,Jeans,Skinny Jeans,XL,kept,,Slim Fit,5,Very comfortable and fits perfectly.,2024-07-23
U000119,Male,175,79,Male_Cluster_3,Allen Solly,Jeans,Straight Fit Jeans,L,kept,,True to Size,5,Exactly as shown. True to size.,2024-06-13
U000120,Female,162,55,Female_Cluster_0,Zara,Dress,Maxi Dress,S,returned,Too Long,Runs Large,3,Needed one size smaller.,2025-01-17
U000121,Female,165,57,Female_Cluster_4,Adidas,Top,Printed Tee,XS,kept,,Slim Fit,5,Very comfortable and fits perfectly.,2025-12-23
U000122,Female,150,45,Female_Cluster_2,Nike,Dress,Floral Midi Dress,S,kept,,Relaxed Fit,5,Exactly as shown. True to size.,2024-10-22
U000123,Female,163,62,Female_Cluster_0,Biba,Kurti,Printed Kurti,L,returned,Too Loose,Runs Large,2,Runs larger than expected.,2025-03-15
U000124,Female,155,67,Female_Cluster_1,Zara,Shirt,Checked Casual Shirt,M,kept,,Relaxed Fit,4,Looks even better in person.,2025-04-26
U000125,Female,155,63,Female_Cluster_1,H&M,Jeans,Straight Fit Jeans,M,kept,,Relaxed Fit,4,Really happy with the purchase.,2024-05-16
U000126,Female,149,53,Female_Cluster_2,Allen Solly,Trousers,Chinos,M,kept,,True to Size,5,Loved the fit. Fabric feels premium.,2024-10-27
U000127,Female,163,42,Female_Cluster_4,Nike,Shirt,Formal Shirt,S,returned,Too Long,Runs Large,2,Runs larger than expected.,2024-12-31
U000128,Male,181,78,Male_Cluster_4,Zara,Jeans,Skinny Jeans,M,returned,Too Long,Oversized,2,Loose fit wasn't for me.,2025-12-09
U000129,Female,166,53,Female_Cluster_4,Zara,Trousers,Running Shorts,XS,kept,,True to Size,5,Really happy with the purchase.,2024-04-15
U000130,Female,157,51,Female_Cluster_2,ONLY,Dress,Maxi Dress,XS,kept,,Slim Fit,5,Perfect everyday wear.,2025-10-16
U000131,Male,174,72,Male_Cluster_3,ONLY,Jeans,511 Slim Jeans,M,kept,,Relaxed Fit,5,Loved the fit. Fabric feels premium.,2024-05-09
U000132,Female,161,49,Female_Cluster_4,Biba,Top,Linen Top,M,returned,Too Long,Oversized,2,Needed one size smaller.,2024-05-20
U000133,Female,153,65,Female_Cluster_1,Zara,Top,Linen Top,M,kept,,Relaxed Fit,4,Perfect everyday wear.,2024-09-23
U000134,Female,161,70,Female_Cluster_3,Allen Solly,Dress,Floral Midi Dress,L,kept,,True to Size,5,Exactly as shown. True to size.,2025-11-29
U000135,Male,182,72,Male_Cluster_4,Zara,Shirt,Casual Shirt,S,kept,,True to Size,4,Really happy with the purchase.,2025-06-04
U000136,Female,170,56,Female_Cluster_4,Allen Solly,Top,Printed Tee,S,kept,,Relaxed Fit,4,Exactly as shown. True to size.,2024-03-08
U000137,Female,169,57,Female_Cluster_4,ONLY,Kurti,Ethnic Set,XS,returned,Too Loose,Oversized,3,Needed one size smaller.,2024-12-18
U000138,Female,163,47,Female_Cluster_4,Roadster,Dress,Maxi Dress,XS,kept,,True to Size,4,Perfect everyday wear.,2024-06-17
U000139,Female,163,55,Female_Cluster_0,Nike,Top,Ethnic Top,S,returned,Too Long,Runs Large,3,Needed one size smaller.,2025-06-30
U000140,Female,154,48,Female_Cluster_2,Roadster,Dress,Maxi Dress,XS,returned,Too Tight,Runs Small,1,Should have sized up. Felt tight around the shoulders.,2025-10-18
U000141,Male,171,80,Male_Cluster_3,ONLY,Shirt,Relaxed Shirt,M,kept,,Slim Fit,5,Comfortable and stylish.,2024-09-07
U000142,Male,169,66,Male_Cluster_0,H&M,Dress,Maxi Dress,S,kept,,Slim Fit,4,Really happy with the purchase.,2024-11-22
U000143,Female,170,42,Female_Cluster_4,Adidas,Shirt,Casual Shirt,XS,kept,,True to Size,5,Comfortable and stylish.,2024-09-10
U000144,Female,173,64,Female_Cluster_3,Biba,Kurti,Cotton Kurta,XL,returned,Too Long,Oversized,2,Length was longer than expected.,2025-05-25
U000145,Male,158,78,Male_Cluster_2,H&M,Top,Graphic Tee,L,returned,Too Loose,Oversized,2,Bit loose around the waist.,2024-10-15
U000146,Female,166,49,Female_Cluster_4,Nike,Shirt,Relaxed Shirt,XS,kept,,Slim Fit,5,Looks even better in person.,2025-01-09
U000147,Female,167,61,Female_Cluster_3,W,Jeans,Straight Fit Jeans,L,kept,,Relaxed Fit,5,Exactly as shown. True to size.,2024-05-11
U000148,Male,162,85,Male_Cluster_2,W,Jeans,511 Slim Jeans,XXL,kept,,Relaxed Fit,4,Loved the fit. Fabric feels premium.,2024-02-09
U000149,Female,156,66,Female_Cluster_1,Roadster,Shirt,Casual Shirt,L,returned,Too Long,Runs Large,3,Needed one size smaller.,2024-11-02
U000150,Female,152,57,Female_Cluster_1,Biba,Jeans,Skinny Jeans,L,returned,Sleeves Tight,Runs Small,1,Sleeves felt tight.,2025-08-20
U000151,Female,169,47,Female_Cluster_4,H&M,Shirt,Formal Shirt,XS,kept,,Relaxed Fit,4,Loved the fit. Fabric feels premium.,2025-08-20
U000152,Female,150,55,Female_Cluster_2,ONLY,Dress,Floral Midi Dress,S,returned,Too Loose,Runs Large,2,Loose fit wasn't for me.,2024-11-17
U000153,Female,156,61,Female_Cluster_1,Biba,Kurti,Printed Kurti,XL,kept,,Relaxed Fit,5,Comfortable and stylish.,2025-06-22
U000154,Female,166,55,Female_Cluster_4,Adidas,Shirt,Checked Casual Shirt,S,kept,,Relaxed Fit,5,Comfortable and stylish.,2024-07-15
U000155,Male,170,82,Male_Cluster_1,Nike,Trousers,Office Trousers,XL,kept,,Slim Fit,5,Perfect everyday wear.,2024-10-21
U000156,Female,157,50,Female_Cluster_2,Adidas,Dress,Maxi Dress,S,returned,Too Loose,Oversized,3,Runs larger than expected.,2025-05-05
U000157,Female,162,51,Female_Cluster_4,Nike,Dress,Floral Midi Dress,S,kept,,True to Size,4,Great quality. Would buy again.,2025-10-15
U000158,Female,164,62,Female_Cluster_3,Zara,Trousers,Track Pants,S,kept,,True to Size,5,Comfortable and stylish.,2025-05-03
U000159,Female,160,50,Female_Cluster_2,H&M,Top,Crop Top,XS,kept,,True to Size,4,Looks even better in person.,2024-06-29
U000160,Male,184,78,Male_Cluster_4,Allen Solly,Dress,Maxi Dress,S,kept,,Relaxed Fit,4,Really happy with the purchase.,2024-10-18
U000161,Female,155,49,Female_Cluster_2,W,Kurti,Anarkali Kurta,M,kept,,True to Size,5,Perfect everyday wear.,2024-07-09
U000162,Female,157,64,Female_Cluster_1,Levi's,Dress,Maxi Dress,M,returned,Too Tight,Runs Small,2,Should have sized up. Felt tight around the shoulders.,2024-07-08
U000163,Male,158,77,Male_Cluster_2,Nike,Kurti,Cotton Kurta,XL,kept,,Slim Fit,5,Loved the fit. Fabric feels premium.,2024-09-24
U000164,Female,159,54,Female_Cluster_0,Allen Solly,Jeans,511 Slim Jeans,M,kept,,Relaxed Fit,5,Exactly as shown. True to size.,2025-10-16
U000165,Male,169,87,Male_Cluster_1,Roadster,Kurti,Cotton Kurta,XL,returned,Too Long,Oversized,3,Needed one size smaller.,2025-11-11
U000166,Male,172,58,Male_Cluster_0,Zara,Shirt,Formal Shirt,XS,kept,,Relaxed Fit,4,Loved the fit. Fabric feels premium.,2025-07-14
U000167,Male,174,85,Male_Cluster_1,Adidas,Shirt,Formal Shirt,XL,kept,,Relaxed Fit,5,Exactly as shown. True to size.,2025-06-06
U000168,Female,162,59,Female_Cluster_0,Allen Solly,Shirt,Relaxed Shirt,M,kept,,Slim Fit,4,Looks even better in person.,2024-09-17
U000169,Male,171,60,Male_Cluster_0,ONLY,Jeans,Straight Fit Jeans,XS,kept,,True to Size,5,Loved the fit. Fabric feels premium.,2024-10-20
U000170,Female,161,42,Female_Cluster_4,ONLY,Jeans,Skinny Jeans,XS,returned,Too Long,Oversized,2,Needed one size smaller.,2024-05-16
U000171,Female,157,62,Female_Cluster_1,ONLY,Shirt,Satin Shirt,M,kept,,True to Size,4,Perfect everyday wear.,2025-04-19
U000172,Female,152,54,Female_Cluster_2,Levi's,Dress,Maxi Dress,M,kept,,Relaxed Fit,4,Loved the fit. Fabric feels premium.,2025-11-07
U000173,Female,161,42,Female_Cluster_4,Levi's,Dress,Floral Midi Dress,XS,kept,,Relaxed Fit,4,Great quality. Would buy again.,2024-02-15
U000174,Female,160,64,Female_Cluster_0,H&M,Dress,Maxi Dress,M,returned,Too Long,Oversized,2,Runs larger than expected.,2024-05-26
U000175,Male,164,72,Male_Cluster_2,H&M,Shirt,Casual Shirt,S,returned,Sleeves Tight,Runs Small,3,Sleeves felt tight.,2025-07-23
U000176,Female,174,54,Female_Cluster_4,ONLY,Shirt,Checked Casual Shirt,XS,kept,,Slim Fit,5,Very comfortable and fits perfectly.,2025-07-04
U000177,Female,162,51,Female_Cluster_4,Roadster,Kurti,Printed Kurti,S,returned,Too Loose,Oversized,2,Runs larger than expected.,2024-07-27
U000178,Female,165,62,Female_Cluster_3,Zara,Shirt,Satin Shirt,S,kept,,Relaxed Fit,4,Exactly as shown. True to size.,2024-07-11
U000179,Male,163,66,Male_Cluster_0,Allen Solly,Dress,Maxi Dress,L,returned,Too Loose,Runs Large,2,Loose fit wasn't for me.,2024-09-05
U000180,Female,158,49,Female_Cluster_2,W,Jeans,512 Taper Jeans,M,kept,,Slim Fit,5,Perfect everyday wear.,2025-01-03
U000181,Female,157,58,Female_Cluster_0,Allen Solly,Jeans,511 Slim Jeans,M,kept,,Relaxed Fit,4,Very comfortable and fits perfectly.,2024-01-17
U000182,Female,167,53,Female_Cluster_4,Nike,Dress,Floral Midi Dress,S,kept,,True to Size,5,Really happy with the purchase.,2024-09-20
U000183,Male,160,75,Male_Cluster_2,Allen Solly,Kurti,Cotton Kurta,XL,kept,,True to Size,5,Very comfortable and fits perfectly.,2025-07-09
U000184,Male,180,70,Male_Cluster_4,Zara,Trousers,Wide Leg Trousers,XS,returned,Sleeves Tight,Runs Small,1,Should have sized up. Felt tight around the shoulders.,2025-12-25
U000185,Female,161,67,Female_Cluster_3,Biba,Trousers,Chinos,XL,kept,,Relaxed Fit,5,Loved the fit. Fabric feels premium.,2024-01-18
U000186,Female,157,82,Female_Cluster_1,W,Trousers,Running Shorts,XL,returned,Too Tight,Runs Small,1,Could barely button it.,2024-06-01
